14,1190,927,0
19,1090,975,0
20,1072,941,0
21,1055,971,0
22,1035,959,0
23,1017,920,0
24,993,963,0
25,976,988,0
26,935,1015,0
27,877,979,0
28,859,1042,0
29,852,991,0
30,780,987,0
31,786,976,0
32,767,926,0
34,699,913,0
37,697,802,0
40,680,941,0
41,664,946,0
42,629,994,0
43,650,1000,0
45,692,936,0
54,842,805,0
62,1015,921,0
67,1158,805,0
68,1162,832,0
69,1123,859,0
71,1146,883,0
72,1152,876,0
73,1135,876,0
75,1113,814,0
76,1093,870,0
77,1045,877,0
78,1018,850,0
79,1028,795,0
80,977,765,0
81,993,808,0
82,960,845,0
83,950,888,0
84,960,923,0
85,914,896,0
86,911,873,0
87,915,818,0
88,895,792,0
89,860,828,0
90,869,886,0
92,802,846,0
93,798,815,0
94,802,806,0
95,740,788,0
96,768,826,0
97,746,844,0
100,797,848,0
101,1015,920,0
102,752,804,0
103,737,802,0
104,736,824,0
106,732,800,0
108,790,748,0
110,768,662,0
125,1013,707,0
130,1122,708,0
133,1125,808,0
136,1160,775,0
137,1161,800,0
139,1133,797,0
141,1110,720,0
143,1072,714,0
144,1111,742,0
146,1050,795,0
147,1065,742,0
149,1004,723,0
150,978,706,0
151,1002,637,0
152,940,661,0
153,932,714,0
154,936,758,0
155,930,703,0
156,868,735,0
157,853,749,0
158,877,691,0
159,870,659,0
160,813,638,0
161,805,697,0
162,790,717,0
163,741,705,0
164,732,744,0
165,736,767,0
166,743,773,0
167,778,741,0
169,772,668,0
171,828,647,0
182,1042,662,0
185,1045,557,0
192,1028,592,0
194,1105,648,0
195,1085,676,0
196,1121,672,0
197,1122,716,0
198,1105,758,0
201,955,705,0
202,1014,702,0
203,1022,650,0
204,1061,656,0
206,1085,578,0
207,1052,556,0
208,1048,495,0
209,1030,552,0
210,967,534,0
211,964,586,0
212,982,622,0
213,938,626,0
214,910,566,0
215,869,619,0
216,836,601,0
217,814,570,0
218,788,534,0
219,810,589,0
220,802,595,0
221,772,630,0
228,585,591,0
234,1020,486,0
236,1015,922,0
237,1077,520,0
238,1033,497,0
240,1002,417,0
241,967,442,0
242,963,470,0
243,936,509,0
245,880,482,0
246,853,452,0
247,831,447,0
248,825,466,0
252,832,490,0
255,992,963,0
260,1040,391,0
261,1020,450,0
262,1004,412,0
263,1015,360,0
264,980,377,0
265,947,361,0
267,892,419,0
268,848,383,0
277,984,348,0
278,979,295,0
279,979,316,0
280,964,329,0
282,897,355,0
283,852,316,0
284,815,345,0
285,822,363,0
291,940,317,0
293,956,237,0
294,947,247,0
295,883,247,0
296,866,290,0
297,863,260,0
300,917,235,0
0,1118,1034,1
1,1110,1002,1
2,1099,951,1
4,1140,976,1
5,1131,992,1
6,1076,1004,1
7,1074,1046,1
8,1071,1063,1
9,1052,1064,1
10,1052,1046,1
11,1014,1024,1
12,1108,1002,1
13,946,983,1
14,896,997,1
16,846,1020,1
17,812,1013,1
19,1109,1002,1
20,751,941,1
21,707,957,1
22,666,931,1
23,659,880,1
25,642,927,1
26,654,954,1
28,624,938,1
31,1120,1035,1
32,1109,1002,1
44,867,896,1
45,887,878,1
50,1006,788,1
51,1109,1002,1
56,1138,860,1
57,1134,856,1
58,1170,807,1
59,1189,840,1
60,1156,868,1
61,1180,877,1
62,1120,870,1
63,1157,897,1
65,1106,902,1
66,1113,869,1
67,1057,880,1
68,1039,905,1
69,988,922,1
71,908,940,1
72,883,927,1
73,832,915,1
75,771,827,1
77,759,876,1
78,724,836,1
79,724,783,1
80,714,749,1
81,745,792,1
82,708,818,1
84,706,886,1
86,693,832,1
87,682,783,1
88,683,756,1
90,718,837,1
91,742,809,1
93,722,768,1
109,1000,704,1
111,1120,1036,1
116,1118,784,1
121,1144,716,1
122,1110,732,1
123,1129,776,1
124,1148,796,1
126,1092,745,1
127,1077,783,1
129,1035,704,1
130,1075,751,1
131,1120,1036,1
132,1055,825,1
134,1030,819,1
135,989,828,1
136,963,826,1
137,918,848,1
138,906,842,1
139,848,828,1
140,884,774,1
141,820,736,1
142,865,691,1
144,807,758,1
145,837,768,1
146,778,798,1
147,777,746,1
149,766,716,1
150,1120,1036,1
151,796,636,1
153,789,699,1
155,751,687,1
156,716,705,1
158,759,670,1
160,804,621,1
161,777,672,1
168,877,691,1
170,1120,1036,1
171,1108,1002,1
178,1093,618,1
180,1112,642,1
181,1095,703,1
182,1060,688,1
183,1072,669,1
184,1032,634,1
185,1050,568,1
186,1065,617,1
187,1033,652,1
188,1034,656,1
189,995,646,1
190,953,606,1
191,1109,1002,1
192,931,601,1
194,934,665,1
195,953,700,1
196,1004,706,1
197,974,749,1
198,946,794,1
199,876,765,1
203,906,659,1
204,875,666,1
206,885,586,1
207,848,560,1
208,858,497,1
209,855,552,1
211,1109,1002,1
212,800,620,1
213,777,620,1
214,793,560,1
215,768,608,1
222,887,589,1
229,1075,495,1
230,1120,1036,1
231,947,984,1
233,1072,522,1
234,1014,484,1
235,1004,508,1
236,980,550,1
237,931,528,1
238,911,502,1
239,923,448,1
240,882,416,1
241,862,442,1
242,818,470,1
243,816,508,1
245,854,479,1
247,842,451,1
248,846,466,1
250,1120,1036,1
251,1110,1002,1
254,1038,445,1
255,1032,464,1
257,1029,452,1
258,1016,448,1
259,973,434,1
260,965,384,1
261,965,448,1
262,925,410,1
263,921,354,1
264,905,374,1
265,880,362,1
266,912,402,1
267,896,419,1
268,872,388,1
270,1120,1035,1
273,1050,414,1
274,1023,402,1
275,1043,368,1
276,1000,374,1
277,986,336,1
278,984,283,1
279,937,310,1
282,887,356,1
284,888,352,1
289,1045,339,1
290,1120,1036,1
291,1108,1002,1
293,958,227,1
294,928,240,1
298,988,225,1
300,986,222,1
4,1054,970,2
5,1116,952,2
7,1095,1006,2
11,1131,979,2
12,1111,978,2
14,1056,966,2
15,1036,988,2
16,997,1003,2
17,975,999,2
18,1054,970,2
21,819,972,2
22,773,953,2
23,746,906,2
24,727,944,2
25,717,964,2
26,704,992,2
28,634,984,2
29,1054,969,2
30,627,936,2
31,669,931,2
32,674,885,2
36,703,825,2
39,720,848,2
42,675,936,2
43,714,943,2
49,1054,970,2
65,1142,860,2
67,1143,837,2
68,1133,864,2
69,1075,890,2
71,1033,915,2
72,1018,906,2
73,970,899,2
75,908,821,2
76,898,879,2
77,855,881,2
78,810,844,2
79,815,789,2
80,777,758,2
81,811,800,2
82,762,834,2
83,789,876,2
84,758,908,2
85,734,877,2
86,722,854,2
